subject,post,latitude,longitude
Traffic Update,"Heads up, River is undergoing some major infrastructure work for the next month.",33.851885,-84.337977
Local Event,Community meeting at Main this Thursday to discuss the new River development.,33.655819,-84.526741
Community Meeting,Excited about the new renovations at Maple. It's going to be great for the community!,33.806333,-84.520602
New Restaurant Opening,"Avoid Main during rush hour, construction is causing major delays.",33.71117,-84.519601
Pothole Alert,Excited about the new renovations at Highland. It's going to be great for the community!,33.77032,-84.370533
Infrastructure Work,Watch out for a giant pothole on Main Street. Be careful driving!,33.87483,-84.536014
Local Event,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.66362,-84.540451
Traffic Update,"Avoid 5th during rush hour, construction is causing major delays.",33.853316,-84.526841
Park Renovation,Community meeting at 5th this Thursday to discuss the new North development.,33.657015,-84.510991
Local Event,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.80373,-84.4981
New Restaurant Opening,Don't miss the Elm happening this weekend at North. Always a good time!,33.862671,-84.426903
Public Transport Notice,Community meeting at 5th this Thursday to discuss the new River development.,33.866493,-84.533973
Park Renovation,Excited about the new renovations at Highland. It's going to be great for the community!,33.785015,-84.473974
Traffic Update,The annual street fair at River is this Saturday. Great food and local crafts!,33.854509,-84.453604
Traffic Update,The annual street fair at Main is this Saturday. Great food and local crafts!,33.709686,-84.37386
Park Renovation,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.885716,-84.369044
Local Event,Public transport update: 5th line will have altered schedules this week.,33.858669,-84.491629
Pothole Alert,"Avoid Main during rush hour, construction is causing major delays.",33.774138,-84.482275
Park Renovation,Community meeting at Elm this Thursday to discuss the new Elm development.,33.731292,-84.529484
Community Meeting,Public transport update: River line will have altered schedules this week.,33.764814,-84.350983
New Restaurant Opening,Excited about the new renovations at Main. It's going to be great for the community!,33.824618,-84.539092
New Restaurant Opening,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.719501,-84.296045
Traffic Update,Watch out for a giant pothole on Highland Street. Be careful driving!,33.66532,-84.494611
Traffic Update,Don't miss the Peachtree happening this weekend at North. Always a good time!,33.832903,-84.315043
Park Renovation,Excited about the new renovations at 5th. It's going to be great for the community!,33.746465,-84.304244
Infrastructure Work,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.741845,-84.506577
Local Event,Public transport update: Elm line will have altered schedules this week.,33.860625,-84.365005
Community Meeting,Heard about a new Maple opening on River. Definitely worth checking out!,33.809409,-84.501702
Pothole Alert,Community meeting at Peachtree this Thursday to discuss the new Highland development.,33.847008,-84.4029
Local Event,The annual street fair at Main is this Saturday. Great food and local crafts!,33.66967,-84.440634
Community Meeting,Don't miss the Elm happening this weekend at Maple. Always a good time!,33.70052,-84.535833
Public Transport Notice,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.689074,-84.329113
Pothole Alert,"Avoid River during rush hour, construction is causing major delays.",33.847757,-84.50095
Infrastructure Work,Watch out for a giant pothole on Highland Street. Be careful driving!,33.717394,-84.293134
Traffic Update,"Avoid River during rush hour, construction is causing major delays.",33.869455,-84.329022
New Restaurant Opening,Community meeting at River this Thursday to discuss the new 5th development.,33.80457,-84.382886
New Restaurant Opening,Excited about the new renovations at Elm. It's going to be great for the community!,33.741173,-84.294776
Community Meeting,Watch out for a giant pothole on North Street. Be careful driving!,33.844788,-84.478988
New Restaurant Opening,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.781693,-84.490312
Park Renovation,"Avoid Main during rush hour, construction is causing major delays.",33.727957,-84.362391
Local Event,Community meeting at Main this Thursday to discuss the new River development.,33.714298,-84.417364
Community Meeting,Public transport update: North line will have altered schedules this week.,33.771948,-84.430192
Traffic Update,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.755905,-84.489175
New Restaurant Opening,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.798009,-84.289856
Community Meeting,Community meeting at Maple this Thursday to discuss the new Peachtree development.,33.73161,-84.40906
Traffic Update,Community meeting at Main this Thursday to discuss the new Main development.,33.79668,-84.340477
Street Fair,Watch out for a giant pothole on Highland Street. Be careful driving!,33.703118,-84.361207
Park Renovation,"Avoid Broadway during rush hour, construction is causing major delays.",33.783168,-84.369048
Park Renovation,Watch out for a giant pothole on River Street. Be careful driving!,33.809859,-84.425966
Pothole Alert,Public transport update: Highland line will have altered schedules this week.,33.858779,-84.410436
Street Fair,Heard about a new Elm opening on Broadway. Definitely worth checking out!,33.680053,-84.436768
Street Fair,"Avoid 5th during rush hour, construction is causing major delays.",33.70371,-84.370178
Community Meeting,Community meeting at Main this Thursday to discuss the new Broadway development.,33.867953,-84.346566
New Restaurant Opening,Heard about a new River opening on Broadway. Definitely worth checking out!,33.875275,-84.315208
Street Fair,Public transport update: Maple line will have altered schedules this week.,33.696101,-84.35173
Community Meeting,Public transport update: Main line will have altered schedules this week.,33.674605,-84.533222
Infrastructure Work,Community meeting at 5th this Thursday to discuss the new Main development.,33.672236,-84.461472
Public Transport Notice,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.694604,-84.350101
Pothole Alert,Community meeting at River this Thursday to discuss the new Broadway development.,33.711038,-84.316005
Local Event,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.781352,-84.440133
Local Event,Excited about the new renovations at Elm. It's going to be great for the community!,33.875481,-84.326843
Community Meeting,Don't miss the Highland happening this weekend at 5th. Always a good time!,33.860436,-84.44683
Community Meeting,Don't miss the Highland happening this weekend at Broadway. Always a good time!,33.684529,-84.317377
Pothole Alert,Community meeting at Maple this Thursday to discuss the new Maple development.,33.744289,-84.500024
Park Renovation,Public transport update: Elm line will have altered schedules this week.,33.808942,-84.322151
Traffic Update,Public transport update: Main line will have altered schedules this week.,33.731729,-84.514459
Street Fair,Public transport update: Elm line will have altered schedules this week.,33.832715,-84.347795
Traffic Update,The annual street fair at Main is this Saturday. Great food and local crafts!,33.858579,-84.442107
Public Transport Notice,Heard about a new 5th opening on Elm. Definitely worth checking out!,33.648042,-84.376098
Infrastructure Work,Excited about the new renovations at Maple. It's going to be great for the community!,33.802779,-84.343447
